name,frequency
ELISA MARIA,2831
BRENDA,2823
IRYNA,2821
IMANE,2808
MELISA,2804
MARIA AMELIA,2803
MARIA LORETO,2801
MARIA LEONOR,2799
MARIA VIRTUDES,2788
MARIA ADORACION,2781
SIRA,2774
EDELMIRA,2765
BASILIA,2761
ELADIA,2761
CHLOE,2754
MARIA ANGELICA,2751
LUISA FERNANDA,2749
VIORICA,2744
ANNE,2739
CARMEN DOLORES,2732
IVET,2728
ESTHER MARIA,2726
MARIA LLANOS,2724
HALIMA,2712
FATIMA ZOHRA,2708
CRISTOBALINA,2706
MARIA GABRIELA,2689
MARIA SALOME,2687
ISIDRA,2677
LEILA,2667
MARIA SANTOS,2665
RITA MARIA,2657
MARIA O,2655
APOLONIA,2646
CARMEN DELIA,2646
OKSANA,2639
ARGENTINA,2632
DIANA MARIA,2620
JULIETA,2619
RAQUEL MARIA,2619
MARIA SIERRA,2618
MARIA IRENE,2615
RAHMA,2610
ARANTZAZU,2606
ANA LUISA,2605
FELICIA,2598
ANA LUCIA,2590
MIGUELA,2572
ANA PILAR,2570
BERNARDINA,2570
MARIA FLOR,2560
ABIGAIL,2555
MARIA COVADONGA,2550
LUCILA,2541
MARIA FUENSANTA,2541
PRUDENCIA,2541
DOROTEA,2530
ANGELITA,2525
CATERINA,2519
MICHELLE,2513
MARIA MONSERRAT,2510
ISABELLA,2509
GALA,2505
KARINA,2504
TEOFILA,2504
PATRICIA MARIA,2502
OLAIA,2483
OLIMPIA,2481
ALAZNE,2474
JARA,2469
NARCISA,2469
RODICA,2469
OLENA,2449
PRISCILA,2449
DOLORES MARIA,2444
MARIA ANA,2443
MELISSA,2430
NAOMI,2428
MARIA LLUISA,2425
MILAGROSA,2413
MARIA ALBA,2400
ANA VICTORIA,2398
ROSARIO MARIA,2391
SEGUNDA,2382
NANCY,2379
MALENA,2371
LUZ DIVINA,2370
MARIA VANESSA,2369
MARIA PAULA,2361
MARIA RITA,2359
HABIBA,2356
AMADA,2349
EDUARDA,2343
MARIA CARIDAD,2332
EMERITA,2324
MADDI,2322
DORINDA,2321
NAIRA,2321
LOUBNA,2319
ZURIÑE,2318
SELENE,2302
BENIGNA,2293
MARIA MATILDE,2288
ENARA,2274
GEORGETA,2271
MARIA HENAR,2271
LIBERTAD,2269
MARIA CELESTE,2265
MARIELA,2259
IRAIA,2240
SVITLANA,2238
CARMEN PILAR,2227
BRUNA,2222
MIRELA,2222
DAMIANA,2220
BIANCA,2216
YAMINA,2210
KATIA,2206
LIDIA MARIA,2206
MARGARIDA,2204
ITXASO,2194
MARISA,2194
ANGELS,2190
ROXANA,2188
MARIA NEUS,2180
RESURRECCION,2177
LOREA,2173
ANITA,2169
AZIZA,2164
TETYANA,2160
IMMACULADA,2148
NURIA MARIA,2148
ERNESTINA,2136
IONELA,2131
LUCIA MARIA,2127
MARIA CANDELAS,2124
ROSALINA,2122
YLENIA,2117
SANTIAGA,2113
ISAURA,2108
MIA,2105
ROSAURA,2101
IRMA,2100
BLANCA NIEVES,2096
MARIA JOAQUINA,2094
MARIA VERONICA,2091
ILHAM,2089
QUERALT,2077
MARIAN,2070
IDAIRA,2069
ZORAIDA,2063
CINTA,2056
FARAH,2056
LUZDIVINA,2056
DIGNA,2054
PETRONILA,2054
MARIA SONSOLES,2053
MARIA NOELIA,2051
MARIA CAROLINA,2046
MARIA RAMONA,2043
GUMERSINDA,2037
MAYA,2033
ALBINA,2029
MIRELLA,2028
MARGALIDA,2027
PLACIDA,2025
ANA BEATRIZ,2020
MARIA AFRICA,2018
DEBORAH,2015
MARIA ENGRACIA,2012
CATALINA MARIA,2011
VALERIANA,2011
EUFEMIA,2010
HILARIA,2000
JAIONE,1998
GINA,1997
MARIA SORAYA,1997
OIHANA,1996
SELENA,1984
HIBA,1983
GENEROSA,1978
ANA VANESA,1977
CELIA MARIA,1976
CLOE,1973
ROMINA,1973
MENCIA,1971
EDUVIGIS,1970
MERIEM,1969
MIRANDA,1965
MIRYAM,1960
CASIMIRA,1958
MARIOLA,1955
MARLENE,1955
NORMA,1952
ZINEB,1949
SANAE,1948
CARINA,1946
DARIA,1946
CONSTANZA,1939
SAADIA,1930
FE,1925
