surname,frequency_first
ACUÑA,6809
SEPULVEDA,6805
MIR,6801
PLANAS,6797
CARRERO,6796
CUELLAR,6770
UREÑA,6753
DIALLO,6751
ZURITA,6739
PICAZO,6737
GAMERO,6724
GOÑI,6716
CAÑADAS,6704
ANDUJAR,6694
SALES,6683
LEMA,6601
CESPEDES,6597
GORDO,6593
GIRON,6593
PARADA,6586
PALAU,6579
RIAL,6567
SOLANA,6566
TORREGROSA,6563
MESTRE,6561
FRUTOS,6559
CODINA,6551
PICO,6535
PERERA,6529
SABATER,6522
ROMO,6515
CARRASCOSA,6514
ALAMO,6506
GUISADO,6505
AMOR,6502
ARELLANO,6493
SEGUI,6493
ARNAU,6486
BOTELLA,6484
FUENTE,6480
ADAN,6469
VILCHES,6468
RIQUELME,6468
VIERA,6450
AMORES,6434
MERA,6419
NOVO,6413
QUIROGA,6409
CALATAYUD,6386
VEGAS,6366
DE DIOS,6358
ALI,6350
TOLEDANO,6346
RIBES,6343
ESPINOZA,6338
CHICO,6338
RODRIGUES,6328
NEVADO,6320
ANTOLIN,6319
CENTENO,6310
HERRAIZ,6300
REVILLA,6300
LORA,6291
PAREJO,6287
HERMOSO,6280
PALAZON,6270
QUERO,6258
PELLICER,6240
LABRADOR,6224
FARRE,6220
CANTOS,6217
BENAVIDES,6208
ANTUNEZ,6206
JIMENO,6206
RAMIRO,6205
JAIME,6198
DEL MORAL,6188
NEIRA,6178
NIEVES,6170
TORRALBA,6164
CAAMAÑO,6159
VICO,6153
BELDA,6146
SEMPERE,6146
CORDON,6145
SILVESTRE,6139
ALEMANY,6121
VERDUGO,6118
POSTIGO,6111
YAGUE,6102
ELVIRA,6095
COMAS,6095
GUARDIOLA,6091
GUIRADO,6084
RUS,6084
SACRISTAN,6068
MEGIAS,6043
GUEVARA,6043
ROSELL,6026
GABARRI,6013
MANSILLA,6005
FONSECA,6005
CAPDEVILA,6001
CANTO,6000
HOYOS,5998
COLOMER,5993
GALIANO,5991
URIARTE,5962
FLOREZ,5960
VACA,5946
CABANILLAS,5944
CAÑIZARES,5939
BERROCAL,5938
PIÑA,5921
ARNAIZ,5916
SOUSA,5914
MONTENEGRO,5903
KAUR,5903
SANS,5897
ROSELLO,5886
AROCA,5874
LLANOS,5852
PERELLO,5841
FEIJOO,5833
GISBERT,5831
RIO,5819
FIGUERAS,5801
GILABERT,5800
TRILLO,5796
ESPIN,5776
CERDAN,5771
CRISTOBAL,5768
MONTEAGUDO,5763
SAN JUAN,5746
CORNEJO,5746
MAÑAS,5733
ALIAGA,5728
PORTELA,5710
QUIÑONES,5703
MAZA,5692
OLIVEIRA,5688
TUDELA,5684
GARRIGA,5679
CHAPARRO,5660
TORREJON,5652
CAMPOY,5643
AMAT,5639
SECO,5629
AMADO,5626
ZHU,5622
MESEGUER,5621
REIG,5605
MATOS,5559
BETANCOR,5555
JULIAN,5546
TEJERA,5537
MORILLA,5535
HOLGADO,5532
MURIEL,5532
CARRANZA,5526
BASTIDA,5516
CARPIO,5511
ABREU,5509
MARMOL,5509
BARRIENTOS,5506
CAMINO,5496
POPA,5481
ESPINO,5480
MERCADO,5475
SAN MIGUEL,5464
OLIVERA,5463
POP,5448
VALCARCEL,5445
CASTELLS,5445
OVIEDO,5441
MORERA,5428
SALDAÑA,5427
SAMPER,5418
PLASENCIA,5386
JULIA,5377
GUIRAO,5376
GAVILAN,5364
GASPAR,5347
CASALS,5347
RUZ,5332
ZHENG,5324
BENAVENTE,5319
PARIS,5309
LILLO,5303
FLORIDO,5302
NOGUEIRA,5289
LIMA,5284
MELGAR,5275
DE HARO,5267
FERRERA,5263
CHICA,5257
MORATO,5249
ANAYA,5234
GOMIS,5233
VALDERRAMA,5193
CALZADA,5190
FERRERAS,5190
CASARES,5179
RECHE,5172
TUR,5170
PEREDA,5170
JORDA,5166
ELIAS,5160
UGARTE,5153
PAJARES,5150
LORCA,5149
DE LA IGLESIA,5142
URRUTIA,5140
HIGUERAS,5137
DORTA,5132
CUETO,5129
VERDEJO,5119
MONTALVO,5119
JOVER,5108
LARREA,5106
CARDOSO,5096
PUEYO,5093
MERIDA,5092
CONEJO,5088
VARA,5085
BERNARDO,5084
DE LA PEÑA,5075
CABRERO,5074
AGULLO,5054
CASERO,5043
ARRIETA,5040
MATO,5038
DEL AMO,5035
SALAMANCA,5031
DAZA,5026
DENIZ,5019
ASENJO,5017
GALLO,5016
RIUS,5015
CERRO,5009
CANDELA,5008
ALBALADEJO,5004
ROPERO,4996
LLORCA,4992
COELLO,4989
BARBOSA,4983
MAESTRO,4975
ARAGONES,4975
SIMO,4969
GOMES,4966
BAYON,4962
BENAVENT,4961
MATIAS,4952
PALOMAR,4943
BRIONES,4939
PAGES,4931
CORBACHO,4913
TORRADO,4902
CASANOVAS,4887
ESPARZA,4885
DE LA VEGA,4880
MARTEL,4874
ESCALANTE,4874
GARMENDIA,4872
PUGA,4870
FERRANDEZ,4870
QUINTANILLA,4870
ESPINAR,4870
BARRIGA,4861
HIERRO,4860
MONJE,4840
VADILLO,4835
PINTADO,4834
TORMO,4833
VILANOVA,4831
CAPILLA,4830
VILLALOBOS,4828
MADRIGAL,4820
SALIDO,4813
MONTALBAN,4812
CABO,4811
GARAY,4804
BOU,4800
IRIARTE,4794
SABATE,4793
ANGUITA,4791
DONOSO,4783
ZUÑIGA,4778
NDIAYE,4777
DE LA CALLE,4774
AYLLON,4773
GUARDIA,4772
LARRAÑAGA,4772
RAMA,4761
TORRENT,4759
POZA,4755
DE ANDRES,4751
TRIVIÑO,4744
BLAS,4740
MILAN,4738
MANCEBO,4737
DE PABLO,4729
MOLLA,4726
GABARRE,4718
MONREAL,4712
BARRETO,4711
DONAIRE,4700
PITA,4700
PORCEL,4698
BUSTO,4695
VAL,4677
MIQUEL,4677
CARPINTERO,4675
BUITRAGO,4673
AMIGO,4672
PORTERO,4670
CADENAS,4669
MARTINS,4666
DALMAU,4665
CASTILLEJO,4657
VALENTIN,4650
ANTEQUERA,4638
MEDIAVILLA,4636
GIRALDEZ,4636
ZORRILLA,4630
GREGORIO,4630
SANABRIA,4623
PORTA,4621
PICON,4610
PIÑOL,4610
BARAHONA,4605
CASCALES,4604
PAYA,4603
RABADAN,4581
YANG,4569
GARROTE,4567
CAÑADA,4567
COMPANY,4567
CORTIJO,4563
ALBARRAN,4563
BLANCH,4555
MENESES,4552
RODA,4551
ALBERDI,4549
DIOP,4543
SARABIA,4539
ANGEL,4533
MIGUELEZ,4532
CUERVO,4523
CLAVIJO,4523
SMITH,4521
CISNEROS,4518
ESCRIVA,4508
RONCERO,4504
TERRON,4490
GEA,4489
GINES,4488
MONTAÑES,4487
JODAR,4483
PARRAGA,4473
CARBAJO,4471
DE FRUTOS,4462
PELAYO,4461
NORIEGA,4459
MONTESDEOCA,4459
POZUELO,4450
LLUCH,4449
PALMERO,4443
ALMANSA,4440
AGUIAR,4440
BERLANGA,4439
VELASQUEZ,4433
REGUERA,4421
AGUERA,4411
IVANOV,4408
GRANDA,4406
VALLADARES,4406
BAYO,4400
PORTO,4399
MICO,4396
JUSTO,4395
PUCHE,4393
FERNANDES,4386
ARCAS,4369
SILES,4366
BERTRAN,4365
PRIEGO,4360
MORALEDA,4358
RAPOSO,4356
UTRERA,4351
PEÑAS,4336
DE JESUS,4329
REGUEIRO,4328
TENORIO,4323
TRIGUERO,4319
MORGADO,4319
MORANTE,4315
ABELLA,4305
GAZQUEZ,4300
MORELL,4298
MILLA,4296
MARIA,4296
MURO,4294
QUEROL,4293
CASTRILLO,4287
ZAMBRANA,4277
INFANTES,4275
VACAS,4274
PLANA,4273
MONROY,4272
MAQUEDA,4269
CARRACEDO,4266
CABAÑAS,4264
HUANG,4253
PANADERO,4251
GRANERO,4238
CEPEDA,4237
POMARES,4224
CARBO,4224
PLATA,4223
CARABALLO,4219
MACHO,4217
ALMAZAN,4214
CARAVACA,4213
ESCALONA,4208
CASTEJON,4205
DE PAZ,4205
CERRATO,4204
MANJON,4196
ROA,4196
IVANOVA,4196
MULERO,4194
FORTES,4190
PRADAS,4187
TORNERO,4181
MOLINER,4177
SEDANO,4175
ROCAMORA,4174
ALCON,4157
VILLARREAL,4157
CANTON,4157
VILAS,4154
ARREGUI,4151
CONCEPCION,4149
CASTELL,4148
DURA,4141
SOTELO,4135
ROSILLO,4133
ASENCIO,4130
RADU,4129
ARGUELLES,4128
BAZAN,4127
BARON,4127
URIBE,4121
GANDIA,4113
BARCO,4111
AMARO,4109
TEBAR,4108
MACHIN,4104
CALZADO,4102
BOLIVAR,4100
MIRAS,4095
LOUREIRO,4092
HENRIQUEZ,4085
TORRIJOS,4066
AGUAYO,4057
PAN,4057
CAMPAÑA,4050
TRINIDAD,4044
DE PEDRO,4026
CUARTERO,4023
JIN,4022
ARMENGOL,4021
SENDRA,4017
CANAL,4016
VENEGAS,4016
CONEJERO,4013
ROMANO,4013
CANALS,4010
VIGO,4009
FELIX,4004
RIVEIRO,4003
FABREGAT,3997
LLEDO,3989
JAUREGUI,3987
COLOM,3983
IÑIGUEZ,3982
CUTILLAS,3980
PARRAS,3975
QUINTAS,3964
ESCAMILLA,3962
NICOLAU,3961
OLLER,3959
ALSINA,3954
ARTILES,3953
JIANG,3953
MANGAS,3949
ABASCAL,3946
DEL BARRIO,3945
RAMIS,3944
MENGUAL,3941
TEIXEIRA,3936
ROQUE,3934
MORATA,3934
VILARIÑO,3933
BARRENA,3926
COZAR,3922
PEDRERO,3919
MONFORT,3917
TERAN,3917
CARNERO,3909
HUSSAIN,3907
SEIJAS,3904
ROSAS,3895
QUILEZ,3895
GALIANA,3891
NEBOT,3890
TORRECILLAS,3889
FERRI,3888
MIRON,3887
PABLOS,3884
VARO,3882
ANTELO,3882
CAMARERO,3881
CASILLAS,3881
UCEDA,3876
AGUILA,3870
FERRO,3870
ORTS,3869
BEJAR,3867
SALVATIERRA,3866
FONTAN,3866
ABADIA,3863
CORONEL,3863
PARRADO,3861
PABLO,3857
BUSQUETS,3855
PANTOJA,3851
TORRENTE,3847
LLANO,3844
DIZ,3840
HUGUET,3832
ORTA,3831
LANDA,3831
LAHOZ,3829
CASES,3822
ROSARIO,3820
BREA,3818
LAVADO,3806
DEVESA,3805
YANES,3801
MOLDOVAN,3791
ARAMBURU,3784
DUMITRU,3783
SAN ROMAN,3779
POSADA,3778
TORRECILLA,3775
BARCIA,3772
ARNAL,3771
GRAÑA,3769
GONZALVEZ,3763
NIÑO,3759
VALBUENA,3750
VIEJO,3743
VICENT,3737
REINOSO,3735
CAYUELA,3735
ANDRADES,3732
ALCOLEA,3732
MOTOS,3731
COUTO,3731
FUNES,3731
AMO,3722
GONZALES,3711
IBORRA,3711
ROSSELLO,3708
LIEBANA,3707
RUA,3706
LASO,3704
MARINA,3703
VIANA,3697
ROMEO,3695
HIGUERA,3690
DURO,3690
ALGUACIL,3689
MUGICA,3685
MATAMOROS,3683
BORRERO,3682
FERRANDIZ,3673
BAS,3671
MASIP,3669
LASTRA,3660
VENDRELL,3651
DE JUAN,3649
BARRIONUEVO,3644
MENDIZABAL,3643
BAQUERO,3640
IRANZO,3638
GADEA,3636
SIMARRO,3633
NUÑO,3631
TOSCANO,3631
DEL REY,3626
MOLL,3625
PEREIRO,3618
ARRABAL,3617
BLANES,3613
LAGE,3611
ARTIGAS,3607
RANGEL,3586
NAVALON,3584
ACERO,3582
VIVANCOS,3579
CARREIRA,3578
DE OLIVEIRA,3575
MATILLA,3574
PARREÑO,3574
BLANCA,3569
CANET,3567
BARRAL,3562
ROZAS,3557
ORTIGOSA,3555
RIBEIRO,3550
SAMANIEGO,3542
SELLES,3540
LIÑAN,3536
FELIU,3535
REGALADO,3532
ESTEBANEZ,3525
BORGES,3524
TORRICO,3523
EGIDO,3522
ARAQUE,3522
BARQUERO,3518
YEPES,3517
PASTRANA,3514
ARTERO,3513
LLINARES,3511
CURBELO,3501
HUETE,3499
PINEDO,3499
MONDEJAR,3497
IZAGUIRRE,3496
MORENTE,3496
ALBERO,3495
ROMEU,3495
BELLON,3492
LASA,3490
POMBO,3483
HU,3480
CORTINA,3479
AGUERO,3476
DEL VAL,3476
CAO,3475
SABORIDO,3473
MATE,3469
PINTOR,3466
TOLOSA,3465
CORREAS,3464
PAGAN,3461
CURTO,3460
FRANCH,3459
ALMENDROS,3458
MERCADER,3454
BARREDA,3450
OLEA,3449
DE BLAS,3448
DE LUCAS,3448
COTO,3445
MULET,3440
EDO,3438
BERNAD,3436
GUASCH,3436
BEDOYA,3428
NEGRIN,3425
BALLESTA,3425
CORCOLES,3420
CRUCES,3420
CLAVERO,3419
MONZO,3414
CURIEL,3413
PALENCIA,3410
TERCERO,3407
SOLERA,3405
BERNARDEZ,3405
VELARDE,3400
NOTARIO,3399
FRESNEDA,3389
CORBALAN,3386
ALLER,3385
CHINCHILLA,3384
HITA,3384
COLMENERO,3381
CUEVA,3380
PAJUELO,3378
SALADO,3378
ESPINA,3375
DE LOS REYES,3374
GAITAN,3374
OLTRA,3372
ACEITUNO,3367
LOSA,3363
GOICOECHEA,3360
ALGABA,3357
ARANGO,3357
VICARIO,3356
CALVENTE,3356
BAJO,3348
MELO,3346
TORRAS,3346
BARRACHINA,3345
ZARATE,3344
GALISTEO,3341
VARONA,3341
MARCH,3341
CALABUIG,3340
GUILLEM,3335
LLADO,3335
ALBEROLA,3328
PITARCH,3326
